kionefenish	kionefenish	ADP	_	_
kionfenish	kionfenish	ADP	_	_
kiongoyrt	kiongoyrt	ADP	_	_
kyndagh	kyndagh	ADP	_	_
kynys	kynys	PRON	_	_
kys	kys	ADV	_	_
lesh	lesh	ADP	_	_
lheh	lheh	NOUN	_	_
lheid	lheid	ADP	_	_
lhisagh	lhisagh	VERB	_	Mood=Cnd
lieh-cheead	lieh-cheead	NUM	_	_
liorish	liorish	ADP	_	_
lurg	lurg	ADP	_	_
lurgh	lurgh	ADP	_	_
m'	mee	PRON	_	Number=Sing|Person=1
m'	my	DET	_	_
m'	my	DET	_	Number=Sing|Person=1|Poss=Yes
maghey	maghey	ADP	_	_
marish	marish	ADP	_	_
mastey	mastey	ADP	_	_
mayd	mayd	PRON	_	Number=Plur|Person=1
mee	mee	PRON	_	Number=Sing|Person=1
millioon	millioon	NUM	_	_
mish	mee	PRON	_	Number=Sing|Person=1|PronType=Emp
my	my	ADP	_	_
my	my	DET	_	Number=Sing|Person=1|Poss=Yes
mychione	mychione	ADP	_	_
mygeart	mygeart	ADP	_	_
mygeayrt	mygeayrt	ADP	_	_
myr	myr	ADP	_	_
myrane	myrane	ADP	_	_
myrgeayrt	myrgeayrt	ADP	_	_
mysh	mysh	ADP	_	_
n	ny	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes
'n	yn	DET	_	_
'n	yn	DET	_	Definite=Def|Number=Sing|PronType=Art
n'	ny	DET	_	Gender=Fem|Number=Sing|Person=3|Poss=Yes
n'	ny	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes
na	na	ADP	_	_
nagh	nagh	PART	_	_
nagh	she	AUX	_	Polarity=Neg
nane-jeig	nane-jeig	NUM	_	_
neayr's	neayr's	ADP	_	_
nee	she	AUX	_	_
nel	bee	VERB	_	Mood=Ind|Tense=Pres
nod	fod	VERB	_	Form=Ecl|Mood=Ind|Tense=Fut
noddym	fod	VERB	_	Form=Ecl|Mood=Ind|Number=Sing|Person=1|Tense=Fut
noi	noi	ADP	_	_
nuy	nuy	NUM	_	_
nuyad	nuyad	NUM	_	_
nuy-jeig	nuy-jeig	NUM	_	_
ny	ny	CCONJ	_	_
ny	ny	DET	_	Gender=Fem|Number=Sing|Person=3|Poss=Yes
ny	ny	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes
ny	ny	PRON	_	_
ny	yn	DET	_	Case=Gen|Definite=Def|Number=Sing|PronType=Art
ny	yn	DET	_	Definite=Def|Number=Plur|PronType=Art
nyn	nyn	DET	_	Number=Plur|Person=1|Poss=Yes
nyn	nyn	DET	_	Number=Plur|Person=2|Poss=Yes
nyn	nyn	DET	_	Number=Plur|Person=3|Poss=Yes
o	o	INTJ	_	_
'oi	oaie	NOUN	_	_
oo	oo	PRON	_	Number=Sing|Person=2
ooilley	ooilley	DET	_	_
ou	ou	PRON	_	_
ou	ou	PRON	_	Number=Sing|Person=2
ow	ow	PRON	_	_
quail	quail	ADP	_	_
queig	queig	NUM	_	_
queigad	queigad	NUM	_	_
queig-jeig	queig-jeig	NUM	_	_
quieg	quieg	NUM	_	_
quoi	quoi	PRON	_	_
quoid	quoid	PRON	_	_
reer	reer	ADP	_	_
reir	reir	ADP	_	_
rere	rere	ADP	_	_
rish	rish	ADP	_	_
roish	roish	ADP	_	_
row	bee	VERB	_	Mood=Ind|Tense=Past
ruggit	ruggit	ADJ	_	_
ry	ry	ADP	_	_
s'	she	AUX	_	_
saa	aeg	ADJ	_	Degree=Cmp,Sup
shaghey	shaghey	ADP	_	_
she	she	AUX	_	_
sheese	sheese	ADP	_	_
shen	shen	DET	_	_
shen	shen	PRON	_	PronType=Dem
shey	shey	NUM	_	_
sheyad	sheyad	NUM	_	_
shey-feed	shey-feed	NUM	_	_
shey-jeig	shey-jeig	NUM	_	_
shiaght	shiaght	NUM	_	_
shiaghtad	shiaghtad	NUM	_	_
shiaght-feed	shiaght-feed	NUM	_	_
shiaght-jeig	shiaght-jeig	NUM	_	_
shiartanse	shiartanse	PRON	_	_
shiartase	shiartase	PRON	_	_
shid	shid	PRON	_	_
shieu	shieu	PRON	_	Number=Plur|Person=2
shin	shin	PRON	_	Number=Plur|Person=1
shingyn	shingyn	PRON	_	Number=Plur|Person=1|PronType=Emp
shinyn	shin	PRON	_	Number=Plur|Person=1|PronType=Emp
shiu	shiu	PRON	_	Number=Plur|Person=2
shiuish	shiu	PRON	_	Number=Plur|Person=2|PronType=Emp
shoh	shoh	DET	_	_
shoh	shoh	PRON	_	PronType=Dem
shuish	shuish	PRON	_	Number=Plur|Person=2|PronType=Emp
'skyn	'skyn	ADP	_	_
sloo	beg	ADJ	_	Degree=Cmp,Sup
smoo	mooar	ADJ	_	Degree=Cmp,Sup
sniessey	niessey	ADJ	_	Degree=Cmp,Sup
sodjey	foddey	ADJ	_	Degree=Cmp,Sup
son	son	ADP	_	_
son	son	NOUN	_	_
stiagh	stiagh	ADP	_	_
syrjey	ard	ADJ	_	Degree=Cmp,Sup
t'	bee	VERB	_	_
ta	bee	VERB	_	_
tessen	tessen	ADP	_	_
theihll	seihll	NOUN	_	_
thousane	thousane	NUM	_	_
three	three	NUM	_	_
three-jeig	three-jeig	NUM	_	_
tree	tree	NUM	_	_
treead	treead	NUM	_	_
tree-jeig	tree-jeig	NUM	_	_
trooid	trooid	ADP	_	_
trooid-magh	trooid-magh	ADP	_	_
un	un	NUM	_	_
unnane-jeig	unnane-jeig	NUM	_	_
uss	oo	PRON	_	Number=Sing|Person=2|PronType=Emp
v'	bee	VERB	_	_
veih	veih	ADP	_	_
vel	bee	VERB	_	_
vieh	vieh	ADP	_	_
villioon	millioon	NUM	_	_
vod	fod	VERB	_	Form=Ecl|Mood=Ind|Tense=Fut
voddym	fod	VERB	_	Form=Ecl|Mood=Ind|Number=Sing|Person=1|Tense=Fut
voish	voish	ADP	_	_
wheig	queig	NUM	_	_
wheigad	queigad	NUM	_	_
wheig-jeig	queig-jeig	NUM	_	_
whieg	quieg	NUM	_	_
woish	woish	ADP	_	_
y	y	ADP	_	_
y	y	ADP	_	PartType=Inf
y	yn	DET	_	Definite=Def|Number=Sing|PronType=Art
yees	jees	NUM	_	_
yeh	jeh	ADP	_	_
yeig	jeig	NUM	_	_
yeih	jeih	NUM	_	_
yn	yn	DET	_	Definite=Def|Number=Sing|PronType=Art
